locus_tag	ftype	length_bp	gene	EC_number	COG	product
CAICOJHJ_00045	CDS	288	fixX_1		COG2440	Ferredoxin-like protein FixX
CAICOJHJ_00046	CDS	1332	ygcS_1			Inner membrane metabolite transport protein YgcS
CAICOJHJ_00047	CDS	531	kefF	1.6.5.2	COG2249	Glutathione-regulated potassium-efflux system ancillary protein KefF
CAICOJHJ_00048	CDS	1863	kefC_1		COG0475	Glutathione-regulated potassium-efflux system protein KefC
CAICOJHJ_00049	CDS	591	folA	1.5.1.3	COG0262	Dihydrofolate reductase
CAICOJHJ_00050	CDS	234	ccdA		COG5302	Antitoxin CcdA
CAICOJHJ_00051	CDS	315	ccdB			Toxin CcdB
CAICOJHJ_00052	CDS	849	apaH	3.6.1.41	COG0639	Bis(5'-nucleosyl)-tetraphosphatase [symmetrical]
CAICOJHJ_00053	CDS	378	apaG		COG2967	Protein ApaG
CAICOJHJ_00054	CDS	822	rsmA	2.1.1.182	COG0030	Ribosomal RNA small subunit methyltransferase A
CAICOJHJ_00055	CDS	990	pdxA	1.1.1.262	COG1995	4-hydroxythreonine-4-phosphate dehydrogenase
CAICOJHJ_00056	CDS	1287	surA	5.2.1.8	COG0760	Chaperone SurA
CAICOJHJ_00057	CDS	2355	lptD		COG1452	LPS-assembly protein LptD
CAICOJHJ_00058	CDS	882	djlA		COG1076	Co-chaperone protein DjlA
CAICOJHJ_00059	CDS	660	rluA	5.4.99.28	COG0564	Ribosomal large subunit pseudouridine synthase A
CAICOJHJ_00060	CDS	2907	rapA_1	3.6.4.-	COG0553	RNA polymerase-associated protein RapA
CAICOJHJ_00061	CDS	2352	polB	2.7.7.7	COG0417	DNA polymerase II
CAICOJHJ_00062	CDS	459				hypothetical protein
CAICOJHJ_00063	CDS	696	araD	5.1.3.4	COG0235	L-ribulose-5-phosphate 4-epimerase AraD
CAICOJHJ_00064	CDS	1503	araA	5.3.1.4	COG2160	L-arabinose isomerase
CAICOJHJ_00065	CDS	1701	araB	2.7.1.16	COG1069	Ribulokinase
CAICOJHJ_00066	CDS	846	araC			Arabinose operon regulatory protein
CAICOJHJ_00067	CDS	234				hypothetical protein
CAICOJHJ_00068	CDS	573				hypothetical protein
CAICOJHJ_00069	CDS	423				hypothetical protein
CAICOJHJ_00070	CDS	765	yabI		COG0586	Inner membrane protein YabI
CAICOJHJ_00071	CDS	699	thiQ	3.6.3.-	COG3840	Thiamine import ATP-binding protein ThiQ
CAICOJHJ_00072	CDS	1611	cysW_1		COG4208	Sulfate transport system permease protein CysW
CAICOJHJ_00073	CDS	984	thiB		COG4143	Thiamine-binding periplasmic protein
CAICOJHJ_00074	CDS	1656	sgrR_1		COG4533	HTH-type transcriptional regulator SgrR
CAICOJHJ_00075	CDS	132	sgrT			Putative inhibitor of glucose uptake transporter SgrT
CAICOJHJ_00076	CDS	459				hypothetical protein
CAICOJHJ_00077	CDS	606	leuD	4.2.1.33	COG0066	3-isopropylmalate dehydratase small subunit
CAICOJHJ_00078	CDS	1401	leuC	4.2.1.33	COG0065	3-isopropylmalate dehydratase large subunit
CAICOJHJ_00079	CDS	1092	leuB	1.1.1.85	COG0473	3-isopropylmalate dehydrogenase
CAICOJHJ_00080	CDS	1572	leuA	2.3.3.13	COG0119	2-isopropylmalate synthase
CAICOJHJ_00081	CDS	945	leuO			HTH-type transcriptional regulator LeuO
CAICOJHJ_00082	CDS	1725	ilvI	2.2.1.6	COG0028	Acetolactate synthase isozyme 3 large subunit
CAICOJHJ_00083	CDS	492	ilvH	2.2.1.6	COG0440	Acetolactate synthase isozyme 3 small subunit
CAICOJHJ_00084	CDS	1005	cra		COG1609	Catabolite repressor/activator
CAICOJHJ_00085	CDS	459	mraZ		COG2001	Transcriptional regulator MraZ
CAICOJHJ_00086	CDS	942	rsmH	2.1.1.199	COG0275	Ribosomal RNA small subunit methyltransferase H
CAICOJHJ_00087	CDS	366	ftsL		COG3116	Cell division protein FtsL
CAICOJHJ_00088	CDS	1767	ftsI	3.4.16.4	COG0768	Peptidoglycan D,D-transpeptidase FtsI
CAICOJHJ_00089	CDS	1488	murE	6.3.2.13	COG0769	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase
CAICOJHJ_00090	CDS	1359	murF	6.3.2.10	COG0770	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
CAICOJHJ_00091	CDS	1083	mraY	2.7.8.13	COG0472	Phospho-N-acetylmuramoyl-pentapeptide-transferase
CAICOJHJ_00092	CDS	1317	murD	6.3.2.9	COG0771	UDP-N-acetylmuramoylalanine--D-glutamate ligase
CAICOJHJ_00093	CDS	1245	ftsW	2.4.1.129	COG0772	putative peptidoglycan glycosyltransferase FtsW
CAICOJHJ_00094	CDS	1068	murG	2.4.1.227	COG0707	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase
CAICOJHJ_00095	CDS	1476	murC	6.3.2.8	COG0773	UDP-N-acetylmuramate--L-alanine ligase
CAICOJHJ_00096	CDS	921	ddlB	6.3.2.4	COG1181	D-alanine--D-alanine ligase B
CAICOJHJ_00097	CDS	831	ftsQ		COG1589	Cell division protein FtsQ
CAICOJHJ_00098	CDS	1263	ftsA_1		COG0849	Cell division protein FtsA
CAICOJHJ_00099	CDS	1152	ftsZ		COG0206	Cell division protein FtsZ
CAICOJHJ_00100	CDS	918	lpxC	3.5.1.108	COG0774	UDP-3-O-acyl-N-acetylglucosamine deacetylase
CAICOJHJ_00101	CDS	588	secM			Secretion monitor
CAICOJHJ_00102	CDS	2706	secA_1		COG0653	Protein translocase subunit SecA
CAICOJHJ_00103	CDS	399	mutT	3.6.1.55	COG0494	8-oxo-dGTP diphosphatase
CAICOJHJ_00104	CDS	522				hypothetical protein
CAICOJHJ_00105	CDS	603				hypothetical protein
CAICOJHJ_00106	CDS	198	yacG		COG3024	DNA gyrase inhibitor YacG
CAICOJHJ_00107	CDS	744	zapD		COG4582	Cell division protein ZapD
CAICOJHJ_00108	CDS	621	coaE	2.7.1.24	COG0237	Dephospho-CoA kinase
CAICOJHJ_00109	CDS	1044	guaC	1.7.1.7	COG0516	GMP reductase
CAICOJHJ_00110	CDS	1203	epsF		COG1459	Type II secretion system protein F
CAICOJHJ_00111	CDS	1386	epsE		COG2804	Type II secretion system protein E
CAICOJHJ_00112	CDS	441	pilE1		COG4969	Fimbrial protein
CAICOJHJ_00113	CDS	894	nadC_1	2.4.2.19	COG0157	Nicotinate-nucleotide pyrophosphorylase [carboxylating]
CAICOJHJ_00114	CDS	552	ampD	3.5.1.28	COG3023	1,6-anhydro-N-acetylmuramyl-L-alanine amidase AmpD
CAICOJHJ_00115	CDS	855	ampE		COG3725	Protein AmpE
CAICOJHJ_00116	CDS	1371	aroP		COG1113	Aromatic amino acid transport protein AroP
CAICOJHJ_00117	CDS	1782	pys2	3.1.-.-	COG3209	Pyocin-S2
CAICOJHJ_00118	CDS	291	imm_1			Colicin-E7 immunity protein
CAICOJHJ_00119	CDS	294	imm_2			Colicin-E7 immunity protein
CAICOJHJ_00120	CDS	291	imm_3			Colicin-E7 immunity protein
CAICOJHJ_00121	CDS	327			COG2963	Insertion element IS6110 uncharacterized 12.0 kDa protein
CAICOJHJ_00122	CDS	888				hypothetical protein
CAICOJHJ_00123	CDS	765	pdhR_1		COG2186	Pyruvate dehydrogenase complex repressor
CAICOJHJ_00124	CDS	2664	aceE	1.2.4.1	COG2609	Pyruvate dehydrogenase E1 component
CAICOJHJ_00125	CDS	630	aceF_1	2.3.1.12	COG0508	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex
CAICOJHJ_00126	CDS	1278	aceF_2	2.3.1.12	COG0508	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex
CAICOJHJ_00127	CDS	1425	lpdA	1.8.1.4	COG1249	Dihydrolipoyl dehydrogenase
CAICOJHJ_00128	CDS	1782				hypothetical protein
CAICOJHJ_00129	CDS	2598	acnB	4.2.1.3	COG1049	Aconitate hydratase B
CAICOJHJ_00130	CDS	363				hypothetical protein
CAICOJHJ_00131	CDS	795	speD	4.1.1.50	COG1586	S-adenosylmethionine decarboxylase proenzyme
CAICOJHJ_00132	CDS	867	speE	2.5.1.-	COG0421	Polyamine aminopropyltransferase
CAICOJHJ_00133	CDS	309				hypothetical protein
CAICOJHJ_00134	CDS	1551	cueO		COG2132	Blue copper oxidase CueO
CAICOJHJ_00135	CDS	2391	gcd	1.1.5.2	COG4993	Quinoprotein glucose dehydrogenase
CAICOJHJ_00136	CDS	549	hpt	2.4.2.8	COG0634	Hypoxanthine phosphoribosyltransferase
CAICOJHJ_00137	CDS	663	can	4.2.1.1	COG0288	Carbonic anhydrase 2
CAICOJHJ_00138	CDS	927	yadG		COG1131	putative ABC transporter ATP-binding protein YadG
CAICOJHJ_00139	CDS	771	yadH		COG0842	Inner membrane transport permease YadH
CAICOJHJ_00140	CDS	441	levD		COG2893	PTS system fructose-specific EIIA component
CAICOJHJ_00141	CDS	1230	icaB	3.5.1.-	COG0726	Poly-beta-1,6-N-acetyl-D-glucosamine N-deacetylase
CAICOJHJ_00142	CDS	381	panD	4.1.1.11		Aspartate 1-decarboxylase
CAICOJHJ_00143	CDS	945	rpnD_1	3.1.21.-		Recombination-promoting nuclease RpnD
CAICOJHJ_00144	CDS	198				hypothetical protein
CAICOJHJ_00145	CDS	765	panC	6.3.2.1	COG0414	Pantothenate synthetase
CAICOJHJ_00146	CDS	795	panB	2.1.2.11	COG0413	3-methyl-2-oxobutanoate hydroxymethyltransferase
CAICOJHJ_00147	CDS	1266	yadC			putative fimbrial-like protein YadC
CAICOJHJ_00148	CDS	597	yadK			putative fimbrial-like protein YadK
CAICOJHJ_00149	CDS	609	yadL			putative fimbrial-like protein YadL
CAICOJHJ_00150	CDS	567	yadM			putative fimbrial-like protein YadM
CAICOJHJ_00151	CDS	2589	htrE		COG3188	Outer membrane usher protein HtrE
CAICOJHJ_00152	CDS	741	yadV			putative fimbrial chaperone YadV
CAICOJHJ_00153	CDS	591	yadN			putative fimbrial-like protein YadN
CAICOJHJ_00154	CDS	480	folK	2.7.6.3	COG0801	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase
CAICOJHJ_00155	CDS	1365	pcnB	2.7.7.19	COG0617	Poly(A) polymerase I
CAICOJHJ_00156	CDS	927	gluQ	6.1.1.-	COG0008	Glutamyl-Q tRNA(Asp) synthetase
CAICOJHJ_00157	CDS	456	dksA		COG1734	RNA polymerase-binding transcription factor DksA
CAICOJHJ_00158	CDS	705	sfsA		COG1489	Sugar fermentation stimulation protein A
CAICOJHJ_00159	CDS	531	thpR	3.1.4.-	COG1514	RNA 2',3'-cyclic phosphodiesterase
CAICOJHJ_00160	CDS	2430	srmB_1	3.6.4.13		ATP-dependent RNA helicase SrmB
CAICOJHJ_00161	CDS	2535	mrcB		COG0744	Penicillin-binding protein 1B
CAICOJHJ_00162	CDS	2259	fhuA_1		COG1629	Ferrichrome outer membrane transporter/phage receptor
CAICOJHJ_00163	CDS	798	fhuC	3.6.3.34	COG1120	Iron(3+)-hydroxamate import ATP-binding protein FhuC
CAICOJHJ_00164	CDS	891	fhuD_1		COG0614	Iron(3+)-hydroxamate-binding protein FhuD
CAICOJHJ_00165	CDS	1983	fhuB		COG0609	Iron(3+)-hydroxamate import system permease protein FhuB
CAICOJHJ_00166	CDS	1281	hemL	5.4.3.8	COG0001	Glutamate-1-semialdehyde 2,1-aminomutase
CAICOJHJ_00167	CDS	1422	clcA		COG0038	H(+)/Cl(-) exchange transporter ClcA
CAICOJHJ_00168	CDS	345	erpA		COG0316	Iron-sulfur cluster insertion protein ErpA
CAICOJHJ_00169	CDS	624				hypothetical protein
CAICOJHJ_00170	CDS	801	btuF		COG0614	Vitamin B12-binding protein
CAICOJHJ_00171	CDS	699	mtnN	3.2.2.9	COG0775	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase
CAICOJHJ_00172	CDS	1518	dgt	3.1.5.1	COG0232	Deoxyguanosinetriphosphate triphosphohydrolase
CAICOJHJ_00173	CDS	1425	degP	3.4.21.107	COG0265	Periplasmic serine endoprotease DegP
CAICOJHJ_00174	CDS	459				hypothetical protein
CAICOJHJ_00175	CDS	1158	cdaR		COG3835	Carbohydrate diacid regulator
CAICOJHJ_00176	CDS	387				hypothetical protein
CAICOJHJ_00177	CDS	825	dapD	2.3.1.117	COG2171	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase
CAICOJHJ_00178	CDS	2673	glnD		COG2844	Bifunctional uridylyltransferase/uridylyl-removing enzyme
CAICOJHJ_00179	CDS	795	map	3.4.11.18	COG0024	Methionine aminopeptidase
CAICOJHJ_00180	CDS	726	rpsB		COG0052	30S ribosomal protein S2
CAICOJHJ_00181	CDS	852	tsf		COG0264	Elongation factor Ts
CAICOJHJ_00182	CDS	726	pyrH	2.7.4.22	COG0528	Uridylate kinase
CAICOJHJ_00183	CDS	558	frr		COG0233	Ribosome-recycling factor
CAICOJHJ_00184	CDS	354	dxr_1	1.1.1.267	COG0743	1-deoxy-D-xylulose 5-phosphate reductoisomerase
CAICOJHJ_00185	CDS	666	dxr_2	1.1.1.267	COG0743	1-deoxy-D-xylulose 5-phosphate reductoisomerase
CAICOJHJ_00186	CDS	759	uppS	2.5.1.31	COG0020	Ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,6E)-farnesyl-diphosphate specific)
CAICOJHJ_00187	CDS	153				hypothetical protein
CAICOJHJ_00188	CDS	750	cdsA_1	2.7.7.41	COG0575	Phosphatidate cytidylyltransferase
CAICOJHJ_00189	CDS	1353	rseP	3.4.24.-	COG0750	Regulator of sigma-E protease RseP
CAICOJHJ_00190	CDS	2433	bamA		COG4775	Outer membrane protein assembly factor BamA
CAICOJHJ_00191	CDS	486	skp		COG2825	Chaperone protein Skp
CAICOJHJ_00192	CDS	1026	lpxD	2.3.1.191	COG1044	UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase
CAICOJHJ_00193	CDS	456	fabZ	4.2.1.59	COG0764	3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ
CAICOJHJ_00194	CDS	789	lpxA	2.3.1.129	COG1043	Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase
CAICOJHJ_00195	CDS	1149	lpxB	2.4.1.182	COG0763	Lipid-A-disaccharide synthase
CAICOJHJ_00196	CDS	597	rnhB	3.1.26.4	COG0164	Ribonuclease HII
CAICOJHJ_00197	CDS	3483	dnaE	2.7.7.7	COG0587	DNA polymerase III subunit alpha
CAICOJHJ_00198	CDS	960	accA	6.4.1.2	COG0825	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha
CAICOJHJ_00199	CDS	2142	ldcC	4.1.1.18	COG1982	Constitutive lysine decarboxylase
CAICOJHJ_00200	CDS	390	cetB	5.1.3.33		2-epi-5-epi-valiolone epimerase
CAICOJHJ_00201	CDS	1314	tilS	6.3.4.19	COG0037	tRNA(Ile)-lysidine synthase
CAICOJHJ_00202	CDS	261	rof		COG4568	Protein rof
CAICOJHJ_00203	CDS	201				hypothetical protein
CAICOJHJ_00204	CDS	546	yaeQ		COG4681	putative protein YaeQ
CAICOJHJ_00205	CDS	423	arfB	3.1.1.29	COG1186	Peptidyl-tRNA hydrolase ArfB
CAICOJHJ_00206	CDS	711	nlpE		COG3015	Lipoprotein NlpE
CAICOJHJ_00207	CDS	603				hypothetical protein
CAICOJHJ_00208	CDS	522				hypothetical protein
CAICOJHJ_00209	CDS	825				hypothetical protein
CAICOJHJ_00210	CDS	1719	proS_1	6.1.1.15	COG0442	Proline--tRNA ligase
CAICOJHJ_00211	CDS	708	trmO	2.1.1.-	COG1720	tRNA (adenine(37)-N6)-methyltransferase
CAICOJHJ_00212	CDS	405	rcsF			Outer membrane lipoprotein RcsF
CAICOJHJ_00213	CDS	813	metQ		COG1464	D-methionine-binding lipoprotein MetQ
CAICOJHJ_00214	CDS	654	metI		COG2011	D-methionine transport system permease protein MetI
CAICOJHJ_00215	CDS	1032	metN	3.6.3.-	COG1135	Methionine import ATP-binding protein MetN
CAICOJHJ_00216	CDS	573	gmhB	3.1.3.82	COG0241	D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase
CAICOJHJ_00217	rRNA	1538				16S ribosomal RNA
CAICOJHJ_00218	tRNA	77				tRNA-Glu(ttc)
CAICOJHJ_00219	rRNA	2901				23S ribosomal RNA
CAICOJHJ_00220	rRNA	111				5S ribosomal RNA
CAICOJHJ_00221	tRNA	77				tRNA-Asp(gtc)
CAICOJHJ_00222	CDS	804	dkgB	1.1.1.346	COG0656	2,5-diketo-D-gluconic acid reductase B
CAICOJHJ_00223	CDS	915	dmlR_1			HTH-type transcriptional regulator DmlR
CAICOJHJ_00224	CDS	825				hypothetical protein
CAICOJHJ_00225	CDS	771	ycgJ	2.1.1.-		putative methyltransferase YcgJ
CAICOJHJ_00226	CDS	1221	mltD	4.2.2.-	COG0741	Membrane-bound lytic murein transglycosylase D
CAICOJHJ_00227	CDS	756	gloB	3.1.2.6	COG0491	Hydroxyacylglutathione hydrolase GloB
CAICOJHJ_00228	CDS	723	ubiE_1	2.1.1.163		Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE
CAICOJHJ_00229	CDS	468	rnhA	3.1.26.4	COG0328	Ribonuclease HI
CAICOJHJ_00230	CDS	741	dnaQ	2.7.7.7	COG0847	DNA polymerase III subunit epsilon
CAICOJHJ_00231	tRNA	77				tRNA-Asp(gtc)
CAICOJHJ_00232	CDS	240				hypothetical protein
CAICOJHJ_00233	CDS	447				hypothetical protein
CAICOJHJ_00234	CDS	219				hypothetical protein
CAICOJHJ_00235	CDS	351				hypothetical protein
CAICOJHJ_00236	CDS	675				hypothetical protein
CAICOJHJ_00237	CDS	951				hypothetical protein
CAICOJHJ_00238	CDS	1134				hypothetical protein
CAICOJHJ_00239	CDS	186				hypothetical protein
CAICOJHJ_00240	CDS	687				hypothetical protein
CAICOJHJ_00241	CDS	225				hypothetical protein
CAICOJHJ_00242	CDS	519				hypothetical protein
CAICOJHJ_00243	CDS	243				hypothetical protein
CAICOJHJ_00244	CDS	552				hypothetical protein
CAICOJHJ_00245	CDS	216				hypothetical protein
CAICOJHJ_00246	CDS	756				Insertion sequence IS5376 putative ATP-binding protein
CAICOJHJ_00247	CDS	378	cbtA_1			Cytoskeleton-binding toxin CbtA
CAICOJHJ_00248	CDS	465	cbeA_1			Cytoskeleton bundling-enhancing antitoxin CbeA
CAICOJHJ_00249	CDS	645				hypothetical protein
CAICOJHJ_00250	CDS	222				hypothetical protein
CAICOJHJ_00251	CDS	477				hypothetical protein
CAICOJHJ_00252	CDS	474	klcA_1			Antirestriction protein KlcA
CAICOJHJ_00253	CDS	246				hypothetical protein
CAICOJHJ_00254	CDS	822				hypothetical protein
CAICOJHJ_00255	CDS	234				hypothetical protein
CAICOJHJ_00256	CDS	453				hypothetical protein
CAICOJHJ_00257	CDS	120				hypothetical protein
CAICOJHJ_00258	CDS	249				hypothetical protein
CAICOJHJ_00259	CDS	630				hypothetical protein
CAICOJHJ_00260	CDS	468				hypothetical protein
CAICOJHJ_00261	CDS	1071				hypothetical protein
CAICOJHJ_00262	CDS	906				hypothetical protein
CAICOJHJ_00263	CDS	1812	crfC_1		COG0699	Clamp-binding protein CrfC
CAICOJHJ_00264	CDS	348	crfC_2		COG0699	Clamp-binding protein CrfC
CAICOJHJ_00265	CDS	294				hypothetical protein
CAICOJHJ_00266	CDS	1101				hypothetical protein
CAICOJHJ_00267	CDS	603	xerC_1			Tyrosine recombinase XerC
CAICOJHJ_00268	CDS	738				hypothetical protein
CAICOJHJ_00269	tRNA	75				tRNA-Gly(gcc)
CAICOJHJ_00270	CDS	2166	fatA_1			Ferric-anguibactin receptor FatA
CAICOJHJ_00271	CDS	990			COG0614	putative protein
CAICOJHJ_00272	CDS	1059	hmuU_1		COG0609	Hemin transport system permease protein HmuU
CAICOJHJ_00273	CDS	768	fepC_1		COG1120	Ferric enterobactin transport ATP-binding protein FepC
CAICOJHJ_00274	CDS	258				hypothetical protein
CAICOJHJ_00275	CDS	126				hypothetical protein
CAICOJHJ_00276	CDS	603				hypothetical protein
CAICOJHJ_00277	CDS	207				hypothetical protein
CAICOJHJ_00278	CDS	792				hypothetical protein
CAICOJHJ_00279	CDS	600				hypothetical protein
CAICOJHJ_00280	CDS	384				hypothetical protein
CAICOJHJ_00281	CDS	426				hypothetical protein
CAICOJHJ_00282	CDS	567				hypothetical protein
CAICOJHJ_00283	CDS	198				hypothetical protein
CAICOJHJ_00284	CDS	639				hypothetical protein
CAICOJHJ_00285	CDS	1173	ogl	4.2.2.6	COG0823	Oligogalacturonate lyase
CAICOJHJ_00286	CDS	801	idnO_1	1.1.1.69		5-keto-D-gluconate 5-reductase
CAICOJHJ_00287	CDS	324				hypothetical protein
CAICOJHJ_00288	CDS	1515	xylP			Isoprimeverose transporter
CAICOJHJ_00289	CDS	2235	pelX	4.2.2.9		Pectate disaccharide-lyase
CAICOJHJ_00290	CDS	963				hypothetical protein
CAICOJHJ_00291	CDS	459				hypothetical protein
CAICOJHJ_00292	CDS	783	deoR_1		COG1349	Deoxyribose operon repressor
CAICOJHJ_00293	CDS	921	rbsK_1	2.7.1.15	COG0524	Ribokinase
CAICOJHJ_00294	CDS	1317	fucP_1		COG0738	L-fucose-proton symporter
CAICOJHJ_00295	CDS	1014				hypothetical protein
CAICOJHJ_00296	CDS	255				hypothetical protein
CAICOJHJ_00297	CDS	1257	ulaA_1		COG3037	Ascorbate-specific PTS system EIIC component
CAICOJHJ_00298	CDS	288	ulaB_1	2.7.1.194		Ascorbate-specific PTS system EIIB component
CAICOJHJ_00299	CDS	444	ulaC_1		COG1762	Ascorbate-specific PTS system EIIA component
CAICOJHJ_00300	CDS	1032	gntR_1			HTH-type transcriptional regulator GntR
CAICOJHJ_00301	CDS	624				hypothetical protein
CAICOJHJ_00302	CDS	1107	shlB			Hemolysin transporter protein ShlB
CAICOJHJ_00303	CDS	435				hypothetical protein
CAICOJHJ_00304	CDS	9651	cdiA_1	3.1.-.-	COG3210	tRNA nuclease CdiA
CAICOJHJ_00305	CDS	459				hypothetical protein
CAICOJHJ_00306	CDS	159				hypothetical protein
CAICOJHJ_00307	CDS	192				hypothetical protein
CAICOJHJ_00308	CDS	210				hypothetical protein
CAICOJHJ_00309	CDS	243				hypothetical protein
CAICOJHJ_00310	CDS	1125				hypothetical protein
CAICOJHJ_00311	CDS	273	papB_1			Major pilu subunit operon regulatory protein PapB
CAICOJHJ_00312	CDS	4116	pic	3.4.21.-		Serine protease pic autotransporter
CAICOJHJ_00313	CDS	888				hypothetical protein
CAICOJHJ_00314	CDS	327			COG2963	Insertion element IS6110 uncharacterized 12.0 kDa protein
CAICOJHJ_00315	CDS	315				hypothetical protein
CAICOJHJ_00316	CDS	480				hypothetical protein
CAICOJHJ_00317	CDS	1161				hypothetical protein
CAICOJHJ_00318	CDS	2148	apxIB		COG2274	Toxin RTX-I translocation ATP-binding protein
CAICOJHJ_00319	CDS	1248	prsE			Type I secretion system membrane fusion protein PrsE
CAICOJHJ_00320	CDS	4833				hypothetical protein
CAICOJHJ_00321	CDS	483				hypothetical protein
CAICOJHJ_00322	CDS	510	rcsB_1			Transcriptional regulatory protein RcsB
CAICOJHJ_00323	CDS	465				hypothetical protein
CAICOJHJ_00324	CDS	771	yafV	3.5.1.3		Omega-amidase YafV
CAICOJHJ_00325	CDS	474	ivy			Inhibitor of vertebrate lysozyme
CAICOJHJ_00326	CDS	2445	fadE	1.3.8.7	COG1960	Acyl-coenzyme A dehydrogenase
CAICOJHJ_00327	CDS	579	gmhA	5.3.1.28	COG0279	Phosphoheptose isomerase
